EID,Cited by,Index Keywords,DOI,Link,,,,"SUBJAREA ( econ )  AND  ( PUBYEAR  <  2016  AND  PUBYEAR  >  2010 )  AND  ( LIMIT-TO ( SRCTYPE ,  ""j"" ) )"
2-s2.0-84906331429,776,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906331429&partnerID=40&md5=b1772d771e16ada3a33524e767c740af,,,,Acceso 27 sep 2016
2-s2.0-80053611303,513,,10.1007/s11747-011-0261-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053611303&partnerID=40&md5=5fc0d767db16b7e9a47536118a2786e3,,,,"Top 2,000 results by citations"
2-s2.0-79958142685,488,,10.1177/0149206311406265,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958142685&partnerID=40&md5=7dcb5eaa765613f810d782744236e3a7,,,,
2-s2.0-79955812678,379,,10.1111/j.1542-4774.2011.01015.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955812678&partnerID=40&md5=511341b6a2306dda03bc8ca151b93917,,,,
2-s2.0-78651308932,361,Future directions; Green supply chain management; Literature reviews; New directions; Organizational theory; Research opportunities; Research questions; Research; Supply chains; Supply chain management,10.1016/j.ijpe.2010.11.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78651308932&partnerID=40&md5=711207ccd748df1c2d3b623d4c152308,,,,
2-s2.0-79955027027,343,,10.1198/jbes.2010.07136,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955027027&partnerID=40&md5=226d3a3104d950bde58b4115784bdd4b,,,,
2-s2.0-79953809061,320,,10.1257/jel.49.1.3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953809061&partnerID=40&md5=a7f0cd387ad0d739800c2112ee5e5f49,,,,
2-s2.0-84861659260,289,,10.1177/0149206311436079,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861659260&partnerID=40&md5=b6bd55822c58d24ff1236821140deed2,,,,
2-s2.0-84855297514,278,,10.1007/s11747-011-0278-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855297514&partnerID=40&md5=16c1ba4c0dde321ec0b14edac31f1a8b,,,,
2-s2.0-79961027119,270,,10.1016/j.jpubeco.2011.03.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79961027119&partnerID=40&md5=509403dc0b7cc7a9877cca1a645784af,,,,
2-s2.0-78650365532,268,,10.1177/0149206310388419,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650365532&partnerID=40&md5=fb79dceb1729f5b2be215993f1893843,,,,
2-s2.0-78650979144,254,,10.1111/j.1540-6261.2010.01625.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650979144&partnerID=40&md5=64ccacfaf1ab35ee8cd72138e57f0079,,,,
2-s2.0-79959609006,251,,10.1257/jel.49.2.366,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959609006&partnerID=40&md5=f995df5037317539de158e173dadbd57,,,,
2-s2.0-84860589584,243,,10.1509/jmr.10.0353,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860589584&partnerID=40&md5=320fe3f2628cd20909e5cf21ced9d105,,,,
2-s2.0-84856393780,242,decision making; ecosystem service; environmental management; environmental planning; environmental policy; environmental values; typology; valuation,10.1016/j.ecolecon.2011.11.011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856393780&partnerID=40&md5=0854c63ed89d349425cd1e723bf87edb,,,,
2-s2.0-79955011055,241,,10.1016/j.jpubeco.2010.11.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955011055&partnerID=40&md5=659a3cf156b447e7ddf9683e282e33db,,,,
2-s2.0-79959583500,240,,10.1257/jel.49.2.326,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959583500&partnerID=40&md5=443fa1155e3b26723493603f215df088,,,,
2-s2.0-79952658642,237,,10.2308/accr.00000005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952658642&partnerID=40&md5=a544912204b203c6b0c83b31af488923,,,,
2-s2.0-78751531622,236,,10.1111/j.1540-6520.2010.00427.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78751531622&partnerID=40&md5=2400f82ab3cd16f1ec21d1d9894d1294,,,,
2-s2.0-79960844583,234,,10.1007/s10683-011-9273-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960844583&partnerID=40&md5=a2b030f77efd23fd3100f4482e29f7ab,,,,
2-s2.0-84881263382,228,accuracy assessment; census; data set; educational attainment; human capital; panel data; socioeconomic indicator; socioeconomic status,10.1016/j.jdeveco.2012.10.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881263382&partnerID=40&md5=3cd142dae010ade91455058d50a99c62,,,,
2-s2.0-79952349303,221,,10.1287/mksc.1100.0566,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952349303&partnerID=40&md5=3d8732fa4438835134ab466f5b6bc3d9,,,,
2-s2.0-78149500334,216,,10.1016/j.jfineco.2010.08.016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78149500334&partnerID=40&md5=ab69e8a396a25100576684116b00d4e2,,,,
