Index Keywords,Cited by,EID
Fede; James,345,2-s2.0-84868143067
Energy systems; Generator controls; generators; Grid connections; MW wind turbine; Turbine systems; Wind park; Power converters; Wind power; Wind turbines; Parks,340,2-s2.0-79952666084
Active filters; Digital control systems; Distributed power generation; Model predictive control; Predictive control systems; Variable speed drives; Computational realization; Control objectives; Digital control; Finite control set; Power conditioning; Predictive control; Renewable energies; State of the art; Power electronics,279,2-s2.0-84882934154
Ac-ac conversion; control strategies; Input and outputs; Input filter; Matrix converter; Modulation methods; modulation schemes; Modulation strategy; Significant impacts; Sinusoidal currents; Theoretical complexity; Power converters; Modulation,229,2-s2.0-80053653619
Electronic structure; Magnetic resonance; Molecular dynamics; Quantum chemistry; Configuration interactions; Coupled clusters; Frequency-dependent; Geometry optimization; Molecular gradient; Molecular properties; Self-consistent field; Vibrational study; Two photon processes,223,2-s2.0-84898548879
adipocytokine; adiponectin; adipsin; angiotensinogen; catalase; cytokine receptor; glutathione peroxidase; interleukin 6; leptin; nicotinamide phosphoribosyltransferase; plasminogen activator inhibitor 1; reactive oxygen metabolite; resistin; superoxide dismutase; tumor necrosis factor alpha; adipocytokine; catalase; glutathione peroxidase; nitric oxide; reactive oxygen metabolite; superoxide dismutase; adipocyte; adipose tissue; age; asthma; cell differentiation; cell function; diabetes mellitus; disease association; endothelial dysfunction; energy consumption; ethnicity; exercise; fatty acid metabolism; fatty acid oxidation; food intake; gout; human; hypertension; immobilization; inflammation; insulin resistance; insulin sensitivity; ischemic heart disease; limbic system; lipid storage; lipogenesis; lipolysis; lipotoxicity; liver failure; mitochondrion; non insulin dependent diabetes mellitus; obesity; oxidative phosphorylation; oxidative stress; oxygen consumption; peripheral vascular disease; protein function; protein secretion; review; signal transduction; sleep apnea syndrome; social stigma; thermogenesis; endothelium; homeostasis; inflammation; metabolism; obesity; pathology; pathophysiology; Adipokines; Adiposity; Catalase; Endothelium; Glutathione Peroxidase; Homeostasis; Humans; Inflammation; Nitric Oxide; Obesity; Oxidative Stress; Reactive Oxygen Species; Superoxide Dismutase,210,2-s2.0-79957805810
AC-AC converters; Back-to-back converter; Common knowledge; Converter topologies; Current source converters; Current source rectifiers; Dc link capacitor; Dc-link; Dc-link converters; Indirect matrix converter; Matrix converter; PWM ac-ac converter; Space Vector Modulation; Three-level; voltage source converter; Voltage source inverter; Choppers (circuits); DC-DC converters; Electric inverters; HVDC power transmission; Topology; Vector spaces; Electric rectifiers,207,2-s2.0-80052642550
"Alternative approach; Cancer cell lines; Differentially expressed gene; Interactive visualizations; Mammalian cells; Mobile software applications; Prior knowledge; Toll-like receptors; Application programs; Cell culture; Cell signaling; Cells; Histology; Java programming language; Libraries; Proteins; Tissue; Visualization; Genes; Mammalia; histone; polycomb group protein; protein; transcriptome; animal; article; computer interface; computer program; gene expression regulation; gene library; genetics; human; Internet; metabolism; mouse; tumor cell line; Animals; Cell Line, Tumor; Gene Expression Regulation, Neoplastic; Gene Library; Histones; Humans; Internet; Mice; Polycomb-Group Proteins; Proteins; Software; Transcriptome; User-Computer Interface",198,2-s2.0-84876100615
Digital control; Digital signals; Non linear control; Optimal controls; Predictive control; Static power converters; Delay control systems; Digital control systems; Predictive control systems; Signal processing; Model predictive control,195,2-s2.0-80054823957
Adaptive Control; Adaptive controllers; Communication delays; Communication graphs; consensus; Constant time delays; delays; Euler-Lagrange equations; Euler-Lagrange systems; Robot manipulator; State synchronization; Uncertain parameters; Unknown parameters; Adaptive control systems; Computer simulation; Dynamical systems; Euler equations; Flexible manipulators; Lagrange multipliers; Nonlinear dynamical systems; Nonlinear equations; Robot applications; Uncertainty analysis; Synchronization,189,2-s2.0-79953782504
Convergence time; Design controllers; Differentiators; Discontinuous systems; Finite-time convergence; Linear time invariant systems; Quadratic form; Robust observers; Second order sliding modes; Super-twisting; Ultimate boundedness; Algorithms; Linear systems; Number theory; Lyapunov functions,181,2-s2.0-84859727230
"Lewis base; nitrogen; article; complex formation; covalent bond; electric potential; electron; molecular interaction; priority journal; static electricity; Computer Simulation; Models, Molecular; Static Electricity",173,2-s2.0-84857801456
,163,2-s2.0-84855671158
Control strategies; crowbar; Doubly fed induction generators; Lowvoltage ride through (LVRT); Reactive support; Robust controllers; Voltage unbalances; Asynchronous generators; Control systems; Electric fault currents; Wind turbines; Wind power,158,2-s2.0-84874831311
"aromatic compound; bromine; carbonyl derivative; chlorine; fluorine; halogen; iodine; oxygen; article; chemical bond; electric potential; electron; energy; halogen bond; molecular interaction; priority journal; static electricity; Biological Agents; Bromine; Chlorine; Crystallization; Electronics; Electrons; Fluorine; Hydrogen Bonding; Iodine; Ligands; Models, Molecular; Quantum Theory; Static Electricity; Thermodynamics",152,2-s2.0-84855661131
"Active molecules; Bioactive compounds; Bioactive molecules; Critical review; Data sets; Optimal balance; Protein targets; Structure-based; True positive rates; Virtual Screening; Molecules; Ligands; ligand; protein; molecular library; protein; protein binding; algorithm; binding site; chemical database; chemistry; computer interface; drug antagonism; drug potentiation; high throughput screening; human; molecular docking; molecular library; protein binding; review; statistical model; structure activity relation; agonists; antagonists and inhibitors; chemistry; molecular library; Algorithms; Binding Sites; Databases, Chemical; High-Throughput Screening Assays; Humans; Ligands; Likelihood Functions; Molecular Docking Simulation; Protein Binding; Proteins; Small Molecule Libraries; Structure-Activity Relationship; User-Computer Interface; Algorithms; Binding Sites; Databases, Chemical; High-Throughput Screening Assays; Humans; Ligands; Likelihood Functions; Molecular Docking Simulation; Protein Binding; Proteins; Small Molecule Libraries; Structure-Activity Relationship; User-Computer Interface",144,2-s2.0-84862027743
Comparative studies; Control strategies; Electrical drives; Experimental assessment; Experimental bench; Field-oriented control; Improving performance; Induction machines; Operation point; Predictive control; Steady state; Transient conditions; Variable speed drives; Platinum compounds,130,2-s2.0-80054812585
,125,2-s2.0-84866184290
FUZZY TOPSIS; Group decision-making; Multi-criteria decision making; Oil reservoirs; Selection of the best; Technique for order preference by similarity to ideal solutions; TOPSIS; Uncertain datas; Accidents; Decision making; Environmental engineering; Fuzzy systems; Oil spills; Petroleum reservoir engineering; Fuzzy logic,121,2-s2.0-78650694101
Markovian jump systems; Network-induced delays; Networked Control Systems (NCSs); Networked predictive controls; Output feedback controls; Predictive controller; Random communication delay; Random delay; Markov processes; Networked control systems; System stability; Time domain analysis; Feedback control,117,2-s2.0-84880893036
