EID,Cites,Keyword
2-s2.0-84868143067,345,Fede
2-s2.0-84868143067,345,James
2-s2.0-79952666084,340,Energy systems
2-s2.0-79952666084,340,Generator controls
2-s2.0-79952666084,340,generators
2-s2.0-79952666084,340,Grid connections
2-s2.0-79952666084,340,MW wind turbine
2-s2.0-79952666084,340,Turbine systems
2-s2.0-79952666084,340,Wind park
2-s2.0-79952666084,340,Power converters
2-s2.0-79952666084,340,Wind power
2-s2.0-79952666084,340,Wind turbines
2-s2.0-79952666084,340,Parks
2-s2.0-84882934154,279,Active filters
2-s2.0-84882934154,279,Digital control systems
2-s2.0-84882934154,279,Distributed power generation
2-s2.0-84882934154,279,Model predictive control
2-s2.0-84882934154,279,Predictive control systems
2-s2.0-84882934154,279,Variable speed drives
2-s2.0-84882934154,279,Computational realization
2-s2.0-84882934154,279,Control objectives
2-s2.0-84882934154,279,Digital control
2-s2.0-84882934154,279,Finite control set
2-s2.0-84882934154,279,Power conditioning
2-s2.0-84882934154,279,Predictive control
2-s2.0-84882934154,279,Renewable energies
2-s2.0-84882934154,279,State of the art
2-s2.0-84882934154,279,Power electronics
2-s2.0-80053653619,229,Ac-ac conversion
2-s2.0-80053653619,229,control strategies
2-s2.0-80053653619,229,Input and outputs
2-s2.0-80053653619,229,Input filter
2-s2.0-80053653619,229,Matrix converter
2-s2.0-80053653619,229,Modulation methods
2-s2.0-80053653619,229,modulation schemes
2-s2.0-80053653619,229,Modulation strategy
2-s2.0-80053653619,229,Significant impacts
2-s2.0-80053653619,229,Sinusoidal currents
2-s2.0-80053653619,229,Theoretical complexity
2-s2.0-80053653619,229,Power converters
2-s2.0-80053653619,229,Modulation
2-s2.0-84898548879,223,Electronic structure
2-s2.0-84898548879,223,Magnetic resonance
2-s2.0-84898548879,223,Molecular dynamics
2-s2.0-84898548879,223,Quantum chemistry
2-s2.0-84898548879,223,Configuration interactions
2-s2.0-84898548879,223,Coupled clusters
2-s2.0-84898548879,223,Frequency-dependent
2-s2.0-84898548879,223,Geometry optimization
2-s2.0-84898548879,223,Molecular gradient
2-s2.0-84898548879,223,Molecular properties
2-s2.0-84898548879,223,Self-consistent field
2-s2.0-84898548879,223,Vibrational study
2-s2.0-84898548879,223,Two photon processes
2-s2.0-79957805810,210,adipocytokine
2-s2.0-79957805810,210,adiponectin
2-s2.0-79957805810,210,adipsin
2-s2.0-79957805810,210,angiotensinogen
2-s2.0-79957805810,210,catalase
2-s2.0-79957805810,210,cytokine receptor
2-s2.0-79957805810,210,glutathione peroxidase
2-s2.0-79957805810,210,interleukin 6
2-s2.0-79957805810,210,leptin
2-s2.0-79957805810,210,nicotinamide phosphoribosyltransferase
2-s2.0-79957805810,210,plasminogen activator inhibitor 1
2-s2.0-79957805810,210,reactive oxygen metabolite
2-s2.0-79957805810,210,resistin
2-s2.0-79957805810,210,superoxide dismutase
2-s2.0-79957805810,210,tumor necrosis factor alpha
2-s2.0-79957805810,210,adipocytokine
2-s2.0-79957805810,210,catalase
2-s2.0-79957805810,210,glutathione peroxidase
2-s2.0-79957805810,210,nitric oxide
2-s2.0-79957805810,210,reactive oxygen metabolite
2-s2.0-79957805810,210,superoxide dismutase
2-s2.0-79957805810,210,adipocyte
2-s2.0-79957805810,210,adipose tissue
2-s2.0-79957805810,210,age
2-s2.0-79957805810,210,asthma
2-s2.0-79957805810,210,cell differentiation
2-s2.0-79957805810,210,cell function
2-s2.0-79957805810,210,diabetes mellitus
2-s2.0-79957805810,210,disease association
2-s2.0-79957805810,210,endothelial dysfunction
2-s2.0-79957805810,210,energy consumption
2-s2.0-79957805810,210,ethnicity
2-s2.0-79957805810,210,exercise
2-s2.0-79957805810,210,fatty acid metabolism
2-s2.0-79957805810,210,fatty acid oxidation
2-s2.0-79957805810,210,food intake
2-s2.0-79957805810,210,gout
2-s2.0-79957805810,210,human
2-s2.0-79957805810,210,hypertension
2-s2.0-79957805810,210,immobilization
2-s2.0-79957805810,210,inflammation
2-s2.0-79957805810,210,insulin resistance
2-s2.0-79957805810,210,insulin sensitivity
2-s2.0-79957805810,210,ischemic heart disease
2-s2.0-79957805810,210,limbic system
2-s2.0-79957805810,210,lipid storage
2-s2.0-79957805810,210,lipogenesis
2-s2.0-79957805810,210,lipolysis
2-s2.0-79957805810,210,lipotoxicity
2-s2.0-79957805810,210,liver failure
2-s2.0-79957805810,210,mitochondrion
2-s2.0-79957805810,210,non insulin dependent diabetes mellitus
2-s2.0-79957805810,210,obesity
2-s2.0-79957805810,210,oxidative phosphorylation
2-s2.0-79957805810,210,oxidative stress
2-s2.0-79957805810,210,oxygen consumption
2-s2.0-79957805810,210,peripheral vascular disease
2-s2.0-79957805810,210,protein function
2-s2.0-79957805810,210,protein secretion
2-s2.0-79957805810,210,review
2-s2.0-79957805810,210,signal transduction
2-s2.0-79957805810,210,sleep apnea syndrome
2-s2.0-79957805810,210,social stigma
2-s2.0-79957805810,210,thermogenesis
